numberUpdates,timeAppLastUsed,firstToLast,date_hour,date_min,activityContextPosted,appPackage,category,contactSignificantContext,ledARGB,priority,significant,date_holiday,topic,seenUnlocked,date_dayofweek,date_weekend,action
0,5750,68925,18,13, still,com.whatsapp,unknown,False,0.0,1.0,False,False,unknown,1,Sun,False,False
1,15413,57738,12,25,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,False,True
2,17577,25438,9,13, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,0,Sun,True,False
0,7720,50205,15,47,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Mon,False,False
2,36566,53431,13,42,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Thur,False,True
0,15180,24246,13,12,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,0,Sat,False,True
0,48276,22017,17,45, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Sat,False,False
1,50826,18092,18,19, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Fri,False,True
2,57702,30897,16,20, still,com.google.android.gm,unknown,False,0.0,1.0,False,False,unknown,0,Thur,False,True
0,35736,22037,11,25,unknown,com.google.android.gm,unknown,False,0.0,0.0,False,False,internet & telecom,1,Mon,False,True
3,8911,29746,13,21, still,com.whatsapp,msg,False,0.0,1.0,False,False,unknown,1,Thur,True,True
0,8471,17492,11,37, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Wed,False,False
0,62284,18650,17,20,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sat,False,True
6,84382,37868,14,33,unknown,com.whatsapp,unknown,True,0.0,1.0,True,False,unknown,1,Mon,False,True
2,26146,38401,15,37,unknown,com.whatsapp,unknown,False,-1.0,0.0,True,False,unknown,1,Mon,False,True
0,30779,14743,11,16,unknown,com.whatsapp,msg,True,0.0,0.0,False,False,unknown,1,Sun,False,True
0,17507,38006,12,37, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Sat,False,False
0,26580,36806,13,37,unknown,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Tues,False,True
0,21778,20577,16,17,unknown,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Sat,False,False
0,14584,29506,20,40, still,com.google.android.gm,unknown,False,0.0,0.0,False,False,unknown,1,Sat,False,True
0,15688,35153,11,21,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Mon,False,False
0,32436,27537,15,25, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Fri,False,True
0,20712,27467,12,42, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Mon,False,False
0,18248,22331,15,35, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Sat,False,False
1,17014,58031,10,7,unknown,com.whatsapp,msg,False,0.0,0.0,False,False,unknown,0,Mon,True,False
0,27582,46458,15,29,unknown,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Sat,True,False
0,31065,60478,17,22,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,True,True
5,54557,34374,16,25,unknown,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Sun,False,False
1,36736,46149,11,40,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sun,True,True
6,54957,27647,12,42, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,True,False
0,4287,58119,11,20, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,0,Mon,False,False
0,6221,31904,16,39, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,0,Sat,False,False
0,88213,9488,14,29,unknown,com.google.android.gm,unknown,False,0.0,0.0,True,False,unknown,1,Tues,False,True
0,6286,42204,14,47, still,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,0,Sat,False,False
1,35773,57769,15,43, still,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,0,Fri,False,False
0,7923,32646,11,27, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,False,True
0,33844,66054,16,29,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,True,True
1,24374,37046,10,13, still,com.whatsapp,unknown,False,0.0,1.0,True,False,unknown,1,Sun,False,True
0,10154,26166,17,27, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sun,False,False
0,11467,59302,16,45,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Sat,False,True
0,20573,36733,14,31,unknown,com.whatsapp,unknown,False,0.0,0.0,False,False,unknown,1,Sat,False,False
0,25340,22503,9,41,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Mon,False,True
0,33126,33406,14,39,unknown,com.google.android.gm,unknown,False,0.0,0.0,False,False,unknown,1,Mon,False,False
0,12529,21285,11,23, still,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Mon,False,True
1,10628,6058,10,37,unknown,com.google.android.gm,unknown,True,0.0,0.0,True,False,unknown,1,Tues,False,False
0,27800,29304,16,15, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Thur,False,True
0,32614,5738,14,31,unknown,com.instagram.android,unknown,False,0.0,0.0,False,False,sports,1,Mon,False,True
0,6914,49671,11,32, still,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Thur,False,True
1,116350,25382,19,14,unknown,com.whatsapp,msg,False,0.0,0.0,True,False,unknown,1,Sat,False,False
1,33794,55713,13,38,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,True,True
