numberUpdates,timeAppLastUsed,firstToLast,date_hour,date_min,activityContextPosted,category,contactSignificantContext,ledARGB,priority,significant,date_holiday,topic,seenUnlocked,date_dayofweek,date_weekend,action,appPackage
0,0,2718,3,35,unknown,unknown,False,0.0,0.0,True,False,unknown,0,Wed,False,True,com.microsoft.skydrive
0,386,12175,8,39, foot walking,unknown,False,0.0,0.0,True,False,unknown,1,Tues,False,False,com.soundcloud.android
0,70055,83455,22,6, still,unknown,False,0.0,0.0,False,False,unknown,0,Fri,False,True,com.nuance.swype.emui
0,179,59157,19,30, still,unknown,False,0.0,-1.0,False,False,unknown,0,Tues,False,False,com.fitbit.FitbitMobile
1,0,46276,18,12,unknown,unknown,False,0.0,0.0,True,False,unknown,0,Sat,True,True,ie.bambooapp.customer
0,30,34123,16,47, still,unknown,False,0.0,0.0,False,False,sports,1,Sun,True,True,com.pof.android
0,311,408,0,10, still,unknown,False,0.0,0.0,False,False,online communities,0,Mon,False,False,com.huawei.phoneservice
1,21,11932,17,26,unknown,msg,False,0.0,1.0,False,False,sports,0,Sun,True,False,projekt.substratum
2,25,2225,12,22,unknown,msg,False,0.0,1.0,True,False,unknown,1,Thur,False,True,com.td.myspend
0,853703,36629,19,33, still,unknown,False,0.0,0.0,False,True,unknown,1,Mon,False,True,org.mozilla.firefox
0,0,56314,18,23,unknown,unknown,False,0.0,0.0,False,False,unknown,1,Sat,True,True,com.amazon.dee.app
1,0,5,1,4,unknown,unknown,False,0.0,1.0,True,False,unknown,0,Thur,False,True,com.google.android.apps.tachyon
0,340,7,2,6,unknown,msg,False,0.0,0.0,True,False,unknown,0,Mon,False,True,com.touchtype.swiftkey
0,3,58987,17,20,unknown,unknown,False,0.0,0.0,True,False,unknown,1,Wed,False,True,com.ascendik.eyeshield
0,18659,50796,18,1,unknown,unknown,False,0.0,0.0,False,True,arts & entertainment,1,Mon,False,False,ee.mtakso.client
5,222,10263,16,8, still,unknown,False,0.0,0.0,False,False,unknown,0,Fri,False,False,com.lyndir.masterpassword
0,89,3204,20,19, still,msg,False,0.0,-1.0,False,False,sports,1,Sat,True,False,com.lyndir.masterpassword
0,79997,37834,15,14, still,unknown,False,0.0,0.0,False,False,arts & entertainment,1,Fri,False,False,com.lyndir.masterpassword
0,1283,4552,16,55, still,msg,True,0.0,2.0,True,False,arts & entertainment,0,Fri,False,True,com.fsck.k9
0,53673,4787,10,5, still,msg,False,0.0,0.0,False,True,business & industrial,1,Mon,False,False,com.fsck.k9
5,0,477,12,10,unknown,msg,unknown,0.0,1.0,True,False,unknown,0,Sun,True,False,com.fsck.k9
0,161656,84584,21,7, still,unknown,True,0.0,0.0,False,False,unknown,1,Fri,False,False,com.google.android.dialer
1,187,5599,16,6, still,unknown,False,0.0,0.0,False,False,arts & entertainment,0,Tues,False,True,com.google.android.dialer
0,0,10350,6,40, still,unknown,True,0.0,0.0,False,False,online communities,1,Sat,True,False,com.google.android.dialer
1,57,1071,7,41,unknown,msg,False,-1.0,1.0,True,False,arts & entertainment,0,Mon,False,True,com.sec.android.app.sns3
13,134320,517,15,17, still,msg,False,0.0,1.0,True,False,unknown,0,Fri,False,False,com.sec.android.app.sns3
0,17146,85498,16,42,unknown,unknown,True,0.0,0.0,False,False,unknown,0,Mon,False,False,com.sec.android.app.sns3
1,4654,33814,18,49, still,unknown,False,0.0,1.0,True,False,unknown,1,Sun,True,True,com.bankofireland.mobilebanking
6,0,1581,8,2,unknown,unknown,False,0.0,0.0,True,False,unknown,0,Sat,True,True,com.bankofireland.mobilebanking
0,3262,73440,5,27,unknown,unknown,False,0.0,0.0,True,False,business & industrial,0,Mon,False,False,com.bankofireland.mobilebanking
0,591,498,2,2,unknown,unknown,False,0.0,0.0,True,False,unknown,0,Wed,False,False,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish
1,2396,52127,17,12, still,unknown,False,0.0,0.0,True,False,unknown,1,Fri,False,True,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish
0,3289931,85683,22,12,unknown,unknown,False,0.0,0.0,True,True,unknown,1,Mon,False,False,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish
0,0,13393,17,8,unknown,unknown,False,0.0,0.0,False,False,unknown,0,Sun,True,False,com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish
0,0,3641,12,4, foot walking,unknown,False,0.0,0.0,False,False,unknown,1,Sat,True,True,com.vodafone.vodafone360updates
0,0,58234,17,18,unknown,unknown,False,0.0,0.0,False,False,unknown,1,Sat,True,True,com.vodafone.vodafone360updates
9,25801,2150,21,40, still,msg,False,0.0,1.0,False,False,unknown,0,Tues,False,True,com.vodafone.vodafone360updates
