numberUpdates,timeAppLastUsed,firstToLast,date_hour,date_min,activityContextPosted,appPackage,category,contactSignificantContext,ledARGB,priority,significant,date_holiday,topic,seenUnlocked,date_dayofweek,date_weekend,action
12,0,83652,22,38, still,com.tinder,unknown,False,0.0,1.0,True,False,business & industrial,1,Sat,True,False
0,0,85874,22,9, still,com.google.android.gm,email,False,0.0,0.0,False,True,jobs & education,1,Fri,False,False
2,0,75,20,5,unknown,com.whatsapp,msg,unknown,0.0,1.0,True,False,internet & telecom,1,Wed,False,False
16,22,73490,18,44,unknown,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,0,Wed,False,True
0,0,33795,17,2,unknown,com.google.android.gm,email,True,0.0,0.0,False,False,internet & telecom,1,Wed,False,True
8,0,19331,20,10,unknown,com.whatsapp,msg,False,-1.0,1.0,True,False,unknown,0,Thur,False,True
6,26,72597,19,22, still,com.google.android.apps.maps,unknown,False,0.0,-1.0,False,False,unknown,1,Wed,False,False
0,213,57262,16,12, still,io.wia.wia,unknown,False,0.0,0.0,False,True,unknown,1,Mon,False,False
0,0,81584,21,18, still,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,1,Wed,False,True
0,0,6,16,4,unknown,com.whatsapp,msg,False,-1.0,1.0,True,False,unknown,0,Fri,False,True
6,0,53105,21,11, still,com.whatsapp,unknown,True,0.0,0.0,True,False,online communities,1,Tues,False,True
0,0,52224,19,16,unknown,com.google.android.gm,email,False,0.0,0.0,False,True,internet & telecom,1,Mon,False,False
0,63,70648,18,45,unknown,com.tinder,unknown,unknown,-16776961.0,2.0,True,False,sports,1,Sun,True,True
0,190,53965,20,41, still,com.tinder,unknown,False,0.0,2.0,True,False,unknown,0,Fri,False,False
0,0,57583,17,2, foot walking,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,1,Sat,True,True
2,0,49494,15,34, still,com.google.android.gm,email,False,0.0,0.0,False,False,arts & entertainment,1,Tues,False,False
0,0,48579,21,13,unknown,com.whatsapp,unknown,False,0.0,1.0,True,False,online communities,1,Sat,True,False
0,48,72486,18,15,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Fri,False,True
172,8,8179,18,3,unknown,com.google.android.gm,email,unknown,0.0,0.0,False,False,online communities,0,Wed,False,False
2,1693,46495,14,18, still,com.google.android.gm,email,False,0.0,0.0,False,False,unknown,1,Thur,False,False
9,100,229,17,2,unknown,com.facebook.orca,msg,False,0.0,1.0,True,False,unknown,1,Wed,False,False
0,0,666,21,53, still,com.whatsapp,msg,True,-1.0,1.0,True,False,internet & telecom,1,Sat,True,True
0,2442,78202,20,2,unknown,com.facebook.katana,unknown,False,-16776961.0,2.0,True,False,sports,0,Sun,True,True
0,0,69784,19,19, still,com.pixonic.wwr,unknown,False,0.0,0.0,False,False,unknown,0,Sun,True,False
0,0,73484,20,15, still,com.google.android.gm,unknown,False,0.0,0.0,False,False,unknown,1,Wed,False,True
0,9,10109,19,3,unknown,com.whatsapp,msg,False,0.0,1.0,True,False,online communities,1,Sat,True,False
0,2012,64393,16,16,unknown,com.google.android.gm,email,False,0.0,0.0,False,True,sports,0,Mon,False,False
0,0,76213,19,24,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,arts & entertainment,1,Thur,False,True
34,0,97,17,13,unknown,com.whatsapp,msg,True,-1.0,1.0,True,False,unknown,0,Thur,False,True
6,0,79247,20,43, still,com.google.android.gm,email,True,0.0,0.0,False,False,online communities,1,Wed,False,False
0,0,80302,21,4,unknown,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,1,Fri,False,True
0,0,47684,21,45,unknown,com.whatsapp,msg,True,0.0,0.0,True,False,unknown,1,Mon,False,True
0,0,72134,19,31, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sat,True,True
2,0,67521,21,55,unknown,com.whatsapp,unknown,unknown,0.0,0.0,True,False,unknown,1,Sun,True,True
3,0,1536,16,42,unknown,com.whatsapp,msg,True,-1.0,1.0,True,False,unknown,0,Sat,True,True
0,95946,61470,15,6,unknown,com.android.mms,unknown,False,-16776961.0,6.0,False,False,unknown,0,Mon,False,True
0,0,59417,16,6, still,com.google.android.gm,email,False,0.0,0.0,False,False,jobs & education,1,Thur,False,True
8,9,7007,14,12, still,com.google.android.gm,email,False,0.0,0.0,False,False,unknown,0,Sun,True,False
0,0,1175,6,4, still,com.google.android.gm,email,False,0.0,0.0,False,False,arts & entertainment,1,Tues,False,False
0,24623,71073,18,8,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sun,True,True
0,0,5780,20,1,unknown,com.facebook.orca,unknown,False,0.0,1.0,False,False,unknown,0,Sat,True,False
0,0,23398,20,1, still,com.whatsapp,unknown,False,0.0,0.0,True,False,online communities,1,Sun,True,True
0,0,3044,17,15, still,com.google.android.youtube,unknown,False,0.0,1.0,False,False,business & industrial,0,Wed,False,True
0,0,21480,21,29,unknown,com.whatsapp,msg,True,0.0,1.0,True,False,unknown,1,Fri,False,True
0,0,67474,17,47,unknown,com.instagram.android,unknown,False,0.0,0.0,True,False,autos & vehicles,1,Sat,True,True
0,0,2007,16,22, still,com.whatsapp,msg,True,0.0,0.0,True,False,internet & telecom,1,Fri,False,True
0,0,51035,15,9, still,com.google.android.gm,email,False,0.0,0.0,False,False,arts & entertainment,1,Tues,False,True
7,0,87,9,18, still,com.google.android.gm,email,False,0.0,0.0,False,False,food & drink,0,Sat,False,True
0,20357,81040,21,1, still,com.twitter.android,unknown,False,0.0,1.0,False,False,news,0,Sun,True,False
3,0,44411,18,30, still,com.revolut.revolut,unknown,False,0.0,1.0,False,False,unknown,1,Thur,False,False
0,41,57988,16,25,unknown,com.instagram.android,unknown,unknown,0.0,0.0,False,False,unknown,1,Thur,False,False
16,0,13374,17,27,unknown,com.google.android.gm,email,True,0.0,0.0,False,False,online communities,1,Thur,False,False
0,16,9124,14,23, still,com.twitter.android,unknown,True,0.0,0.0,True,True,arts & entertainment,1,Mon,False,False
7,0,21969,16,22, still,com.revolut.revolut,unknown,False,0.0,1.0,True,False,unknown,1,Thur,False,False
0,1222,71207,17,31,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sun,True,True
1,0,1,13,22, foot walking,com.whatsapp,msg,True,0.0,1.0,False,False,internet & telecom,1,Sat,True,True
0,13971,688,8,15,unknown,com.twitter.android,unknown,False,-16711936.0,0.0,False,False,unknown,1,Mon,False,False
0,0,83848,22,5, still,com.bskyb.sportnews,unknown,False,0.0,1.0,False,False,sports,0,Sat,True,True
0,3534092,47822,13,28, still,com.twitter.android,unknown,False,-16711936.0,0.0,False,False,unknown,0,Thur,False,False
57,0,26417,20,30, still,com.google.android.gm,email,True,0.0,0.0,True,False,online communities,1,Mon,False,False
0,0,1325,16,0,unknown,com.twitter.android,msg,False,-1.0,0.0,True,False,arts & entertainment,0,Sun,True,True
18,1,43119,18,1,unknown,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,0,Sun,True,True
0,0,285,16,1, still,com.google.android.calendar,unknown,False,0.0,2.0,False,False,unknown,1,Wed,False,True
0,0,73478,19,17, still,com.google.android.gm,email,False,0.0,0.0,False,False,jobs & education,0,Mon,False,False
0,0,75963,19,13,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Thur,False,True
0,147,75385,20,4,unknown,com.whatsapp,unknown,unknown,0.0,0.0,True,False,unknown,1,Sat,True,False
0,28,76333,20,1, still,com.tinder,unknown,False,0.0,2.0,True,False,unknown,0,Sun,True,True
0,268,51143,15,13,unknown,io.wia.wia,unknown,False,0.0,0.0,False,False,unknown,1,Mon,False,False
0,1370,71588,19,2, still,com.bskyb.sportnews,unknown,False,0.0,0.0,False,False,unknown,0,Sun,True,False
0,0,35695,18,8,unknown,com.samsung.android.messaging,msg,False,0.0,0.0,False,False,arts & entertainment,1,Mon,False,True
0,9,63,15,27,unknown,com.facebook.orca,msg,unknown,-16711936.0,1.0,False,False,sports,1,Fri,False,True
0,1617,60890,16,15, still,com.instagram.android,unknown,unknown,0.0,0.0,False,False,arts & entertainment,1,Thur,False,False
34,0,5948,16,13, still,com.bumble.app,unknown,False,0.0,1.0,True,False,unknown,0,Wed,False,True
0,0,72243,17,9,unknown,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,1,Fri,False,True
47,0,182,20,17,unknown,com.whatsapp,msg,True,-1.0,1.0,True,False,unknown,0,Sat,True,True
0,4,30915,12,20, still,com.twitter.android,unknown,False,0.0,0.0,True,False,unknown,1,Tues,False,True
18,0,878,21,1, still,com.whatsapp,msg,False,-1.0,1.0,True,False,people & society,1,Wed,False,True
0,0,4118,13,14,unknown,com.revolut.revolut,unknown,False,0.0,1.0,True,False,unknown,1,Tues,False,False
0,0,80586,20,43,unknown,com.google.android.youtube,unknown,False,0.0,1.0,False,False,unknown,0,Thur,False,True
0,22,79395,20,33, still,com.google.android.gm,email,False,0.0,0.0,False,False,online communities,0,Wed,False,False
0,2878,79030,20,19,unknown,com.bskyb.sportnews,unknown,False,0.0,0.0,False,False,sports,0,Wed,False,False
0,1815,64046,17,31, still,com.twitter.android,unknown,False,0.0,0.0,False,False,news,1,Mon,False,False
5,0,79679,21,28, still,com.tinder,unknown,False,0.0,2.0,False,False,business & industrial,1,Mon,False,False
0,0,78214,19,5, still,com.google.android.gm,email,False,0.0,0.0,False,False,unknown,1,Fri,False,False
6,0,6742,18,38,unknown,com.whatsapp,msg,True,0.0,0.0,True,False,online communities,1,Sat,True,True
0,0,308,20,0, still,com.android.calendar,event,False,0.0,1.0,False,False,unknown,1,Fri,False,True
0,144,80061,21,8,unknown,com.samsung.android.messaging,msg,False,0.0,0.0,False,False,arts & entertainment,1,Sat,True,False
0,0,8063,15,31,unknown,com.android.calendar,call,False,0.0,0.0,False,False,unknown,0,Tues,False,True
0,0,84452,22,6,unknown,com.tinder,unknown,False,0.0,2.0,True,False,business & industrial,1,Mon,False,True
0,0,82278,22,4, still,com.whatsapp,unknown,True,0.0,0.0,True,False,unknown,1,Sun,True,True
0,0,56143,18,21,unknown,com.whatsapp,unknown,True,0.0,0.0,True,False,people & society,1,Wed,False,True
0,0,77466,20,7, still,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Sat,True,True
0,1,76558,19,33,unknown,com.whatsapp,unknown,unknown,0.0,0.0,True,False,unknown,1,Fri,False,True
0,0,65733,18,11,unknown,com.whatsapp,unknown,False,0.0,0.0,True,False,unknown,1,Mon,False,False
